BaseDeFallasCodigo;ModelosCodigo;BaseDeFallasFalla;BaseDeFallasSolucion;BaseDeFallasSintomas;BaseDeFallasPropia
2712;11198;Lineas verticales blancas en la parte superior de la pantalla;Elimine el condensador C314 de 473pf, ya que si ponía otro siempre daba la falla ;Lineas verticales en la parte superior de la pantalla, el IC de salida vertical LA78040 se pone hirviendo a los 10 segundos, si lo dejaba mas tiempo quemaba la salida vertical.;0
2713;11199;Enciende 3 seg. y se apaga.;Me dirijí a los sistemas de proteccion en el IC2001(IX3355CE) que es donde llega el pulso que viene de la salida vertical está la R2049 de 33Kohm, esta estaba desvalorizada.;todos los voltajes de regulación están bien, asi como los voltajes secundarios del fly back. Las señales horizontal, vertical y de los cañones bien. ;0
2714;11198;Lineas verticales blancas en la parte superior de la pantalla;Elimine el condensador C314 de 473pf, ya que si ponía otro siempre daba la falla lo tuve tres dias en prueba y todo bien ya paso casi un año que se lo entregué al cliente y satisfecho.;Lineas verticales en la parte superior de la pantalla, el IC de salida vertical LA78040 se pone hirviendo a los 10 segundos, si lo dejaba mas tiempo quemaba la salida vertical.;0
2715;10824;Enciende, pero se cambia de canal solo, o sea que se va perdiendo la sintonia hasta entrar otro canal;se encontro daÃ±ado r de 33 kilos que alimenta al varactor (con 33 volts)no habia 33 volts por lo tanto se perdia el canal;;0
2716;11200;Al dar la orden de encendido prende pero se apaga a los 5 segundos aprox.;tiene dañado el amplificador de audio STK412-150;;0
2717;11201;Sin audio;se encontro daÃ±ado el c.i. amplificador de audio,(TDA7253) se reemplazo por el TDA7263M ya que no se consiguio con el otro numero;;0
2718;11202;No funciona en modo cd, solo radio;se le cambio el flexible del modulo pick-up laser;;0
2719;10791;enciende pero immediatamente se apaga;yugo daÃ±ado;;0
2720;404;No tiene audio, o sea no se escucha;se encntro conector de bocinas fuera y el ci. mcz3001d daÃ±ado tardaba para encender;;0
2721;11203;No lee ningún formato de discos;se le cambio el la ser;;0
2722;11204;No enciende;dañado c4663 y resistor de .47 ohms;;0
2723;11205;No enciende;dañado mosfet K2645, modulo DPM001, R de .22 ohms asi como el integrado de audio TDA7267A, SE REEMPLAZARON DICHAS PIEZAS Y OK;;0
2724;11206;Al iniciar la PC, Se apaga cuando comienza a leer el CD Boot Windows;En el power supply Omega Modelo 500ATX ,El capacitor C29 de 680 mfd y 16 vdc estaba abombado y media 243MFD , le puse uno de 1000 mfd - 16 vdc y resuelto el problema;;0
2725;11207;Enciende con pantalla verde y rallas de retorno segundos y se apaga;se midieron los transistores amplificadores de la base del cinescopio y miden ok con dudas el Q7321 F422 se quito y mide ok se puso uno nuevo y se corrigió el problema. Antes al encenderla se midio el voltaje del cátodo verde y solo tenia 10V;en ocasiones enciende entra audio y video ok en segundos se pone pantalla verde y rallas de retorno y se apaga. Se reactivo cinescopio y se quito el problema se entrego y al dia siguiente regreso con el mismo problema.;0
2726;11208;no sintonisa ningun canal;llave de servicio en mal estado;en audio y video todo normal;0
2727;11209;No prende se conecta y solo hace un clic y se apaga;se encuentra Salida Hz en corto D1651 se cambia por D2499, al encenderlo comienza un chasquido feo en la pantalla y suena la salida horiz como si quisiera quemar y el video se chupa y queda un cuadro peq en la pantalla y se apga. los voltages varian..... Cristal 513 amarillo en corto, se cambia y ok;;0
2728;11210;Solo prende el led. y no hay sonido ni display, y la bandeja esta partida.;se revisan los voltajes del integrado de salida y solo llega a una salida pero no suena, se cambia el stk402-100S y comenzó  a sonar esa salida pero el otro no, se revisa trans. A107 y estaba malo se cambia por un sg128 o reemplazo y se prueba salida con un cable colocado a un filtro arriba y da audio;;0
2729;11211;Prende pero no sale video;se revisan voltajes no oscila, no llega B+ al F.B se hace seguimiento desde la pata 2 del FB hacia atras y se encuentra una Bobina con el circuito abierto internamente, se corrige y se cambia un filtro por el mismo circuito y ya oscilo,  y quedo ok;;0
2730;11212;No prende, queda titilando el led de encendido;Se encuentra salida horizontal en corto ref C5802 se reemplaza por D1880.;;0
2731;11213;En el display sale mensaje Push Power protect y no sale audio y todo y prende normalmente pero no sale de ese display;En Salid de aud se enc. dos R de 100hom prot. abiertas se camb y se normaliza el disp, pero no sale audio, se rev volt y no llega uno al relay se presiona el rel estando encend y sale audio norm, se encu trans que activa el relay dañado se cambia por A114 y listo sale uno A. se piensa que era stk pero no;;0
2732;11214;Queda en stamby, solo prende el led rojo y no oscila, cunado prendia se demoraba bastante para salir la imagen.;se revisan voltajes y no oscila no pasaba el voltaje por el b+, se encontro optoacoplador deficiente, este es cuadrangular pequeÃ±ito ref B0751, se cambia y listo funciono bien y ya prende rapido.;;0
2733;11214;Queda en stamby, solo prende el led rojo y no oscila, cunado prendía se demoraba bastante para salir la imagen.;se revisan voltajes y no oscila no pasaba el voltaje por el b+, se encontró optoacoplador deficiente, este es cuadrangular pequeñito ref B0751, se cambia y listo funciono bien y ya prende rápido.;;0
2734;10842;No prende, no oscila esta muerto;revisa b+ 43V estan todos los pulsos 5V, se desoldan patas 1,2 y3 del F-B para medir en vacio el B+ y mide 92V lo cual es correcto, pero al colocar el f-B se baja a 43v, resultado Flay back malo, se cambia y listo sale para pintura. ok.;;0
2735;11215;No tiene audio;Reemplazar Eeprom;La sintonía de canales perfecta, salida de potencia de audio bien, el IC de control de volumen y tono bien.;0
2736;11216;Prende y apaga;"chequeando en el pin del flyback B* encontramos un voltaje anormalmente alto.Mas de 200 Volts presumiendo sea la causa del apagado-encendido cuando esta frio.Midiendo lo transistores Reguladores matricula PNK90ZFP encontramos uno de ellos en corto;al reponerlo el voltaje se normaliza a 138V";"prende y apaga,permanece 10seg prendido luego se apaga;al       volverlo a encender permanece mas tiempo prendido. hasta que llega un momento en que funciona sin apagarse.";0
2737;11217;lineas de retraso y se apaga;reemplazar ic 191 o con falsos contactos;enciende con lineas de retraso y al alcanzar máximo brillo se apaga ;0
2738;11218;NO ENCIENDE;SE REVISARON LOS VOLTAJES SECUNDARIOS DE LA FUENTE. EL B+ LLEGABA HASTA 75 VOLTIOS Y EMPEZABA A BAJAR A BAJAR . SE DESCONECTO EL FLY BACK Y APARECIERON LOS 135 DEL B+ . SE REMPLAZO EL FLY BACK Y TRABAJO NORMAL LA TV.;SE OPRIMÍA EL BOTÓN DE ENCENDIDO LA LUZ ROJO PARPADEABA 2 VECES Y NO ENCENDÍA LA TV.;0
2739;4811;Pide codigo a ingresar;Con el control remoto original, presionamos CURSOR e ingresamos los nº 2831 -CURSOR nuevemente y listo .-;Muchas veces cuando reparamos la fuente de éste tv,( por rayo ) en la pantalla aparece CODIGO A INGRESAR;0
2740;10733;pierde la imagen;soldaduras en fly back;tiene momentos de buen funcionamiento,aunque aveces arranca la imagen en gris con lineas de retrazo,audio normal,si arranca bien la imagen se pierde en algun momento.;0
2741;11219;no arranca;cambio de transistores Q603=c4663-Q602=C4663-Q551=D1877 en corto-Resistencia-R606=0,47 óhmios 1/2W,abierta,luego se apagaba:rectificación de soldaduras en IC301=CXA1465AS y en plaqueta principal.ok solución a las fallas.;al presionar power no funciona nada.;0
2742;513;FUENTE NO FUNCIONA;CAMBIAR D622 Y C650;EN Q613 HAY 80V,TRS Q601,Q602 BUENOS;0
2743;11220;Efecto bandera;cambiar C800 330uf x 200v de fuente;regulador calienta mucho, en un tiempo de 15 segundos tiene excesiva temperatura;0
2744;11221;Despues de un Tiempo se queda sin sintonia;"Hicimos un mantenimiento general del Televisor, chequeamos
Soldaduras frías, chequeamos el selector haciéndole una  limpieza
Y solucionamos el problema.
";El televisor trabaja como 5 minutos y al rato se queda sin sintonía;0
2745;11221;Corrimiento de colores, franjas verticales al lado izquierdo;"chequeamos La base del TRC, chequeamos Los voltajes del fly-back, +200, +135 y 
Encontramos un condensador en fuga de 160v/10micro C558, 
Lo substituimos y prendimos el televisor, las franjas y el corrimiento
De colores intensos se habían eliminado.";"en la imagen pudimos ver que había corrimiento
De los colores intensos, mas en el color rojo, la dejamos unas horas 
a prueba y aparecieron Unas franjas verticalmente al lado izquierdo de la pantalla";0
2746;11222;no enciende;"Se cambio el hot de ref;j6810d por un ecg2331 y todo ok; cabe decir que el j6810 media ok.";"el tv obedece al power, pero no hay alta tensión a pesar de tener el +b bien y la oscilación de horizontal ok; se comprobó los componentes asociados.";0
2747;11223;no prende;después de revisar varios elementos se encuentra el c411 en corto este condensador es un 683 se cambia y todo ok;"al dar power se siente cargar la pantalla pero no prende, se cambia la regulación por sospechar de ella; pero nada asi que se procede a revisar todo.";0
2748;11224;tv no prende;se procedió a revisar los zener y se encuentra el z204 de 5.6v con una ligera fuga se cambia y todo ok.;solo aparece el led de stand-by, se cambia el micro por que no aparece el voltaje de power on pero no sucede nada, despues de revisar todo, todo se encuentra ok.;0
2749;11225;No arranca la fuente;"Una vez verificados los voltajes se encontró capacitor
C530 inflado al cambiar el mismo se solucionó el problema";La fuente queda en standby pero no responde a los comandos remotos ni locales;0
2750;11226;No enciende;Se cambia el block de alto voltaje (multiplicador) con numero de parte 8-598-955-32;A encender se escucha que llega el alto voltaje junto con un silbido en el area del fly back y en ese instante se prende el neon NL505 Abl, el transistor de salida Horizontal se calienta en el breve instante que enciende, al entrar la protección se apaga (medio segundo), se retira la placa que contiene el fly back para checarlo y marca bien. En serie con el fly se encuentra el block de alto voltaje 8-598-955-32 se aisla del fly y ya enciende la salida H. correctamente.;0
2751;11227;No inicia sesion;Se entro en modo a prueba de errores y se restauro el sistema recuperando el windows y los datos;;0
2752;10050;No inicia windows;Se formateo e instalo s.o. wxpcy drivers. Se reemplazÃ³ bateria del bios.;;0
2753;10050;No inicia windows;Se ingreso en modo a prueba de errores y se resaturo el sistema a un tiempo anterior, se le instalaron algunos programas que le haca falta.;;0
2754;11228;Revisión general, esta corrido el conector de red colocar en su lugar.;Reparacion de conector de red (estaba colocado invertido y un cale roto), Reparada etapa de video (flex de pantalla mal calzado y base. Mantenimiento. Se coloco bocina en conector de adaptador c.a.;;0
2755;10050;Formatear e instalar w7 y respaldar datos de sesion Mercedes Nieto Clave: 04092009;Se formateo e instalo S.O. W7 y drivers. Se respaldaron 6gb en datos.;;0
2756;10050;No inicia windows - revision general, tratar de respaldar datos si hay que formatear.;Se formateo e instalo s.o. wxpsp3 y drivers. Se hizo respaldo de 8 gb de datos;;0
2757;10050;No prende - revision general;Fuente daÃ±ada, se instalo una nueva;;0
2758;10058;Reparar tarjeta madre (etapa de regulacion), reemplazar fuente. Presupuestar ddr 512mb Ã³ 1gb;reparacion de MB=Se reemplazaron 10 condensadores de la etapa de regulacion (color azul), se cambio la fuente, se instalo ddr2 512mb.;;0
2759;10050;Formatear. Observaciones: puerto db15 video daÃ±ado, Pc con: mb integrada Asrock 775i65g, 2 ddr, d.d. hitachi, cpu intel, floppy, cd-rom 56x;Se frmateo e instalo s.o. wxpsp3 y drivers. Instalacion de tarjeta de video y configuracion. Mantenimiento fisico.;;0
2760;10050;Formatear. Observaciones: puerto db15 video daÃ±ado, Pc con: mb integrada Asrock 775i65g, 2 ddr, d.d. hitachi, cpu intel, floppy, cd-rom 56x;Se frmateo e instalo s.o. wxpsp3 y drivers. Instalacion de tarjeta de video y configuracion. Mantenimiento fisico. (se recibieron piezas como parte de pago);;0
2761;10050;no se conecta a internet - revision general - pc viene con:floppy, dvdrw, d.d. western digital, ddr1 512 mb, mb asrock 775i65G;Tenia daÃ±os en el windows. Se formateo e instalo s.o. wxpsp3 y drivers;;0
2762;10050;No inicia windows - contraseÃ±a:5469 - revision general;Se coorigieron errores de windows reinstalando;;0
2763;10050;Da problemas con el office - revision general Pc viene con:mb integrada, floppy, d.d., cdrw.;Revision;;0
2764;10050;Da problemas con el office - revision general Pc viene con:mb integrada, floppy, d.d., cdrw.;Revision - Se reinstalo Office.;;0
2765;10050;No inicia windows - Revision general - Case atx con mb integrada y cpu amd, floppy, dvd-rom;Se formateo e instalo s.o. wxpsp3 y drivers;;0
2766;10050;Formatear e instalar S.O. wxpsp3 y drivers Respaldar datos, CLAVE:5555 uners;Se formateo e instalo s.o. wxpsp3 y drivers. Se respaldo 2gb en datos;;0
2767;10050;Formatear e instalar S.O. y drivers - respaldar docuemntos y fotos. Pc con: mb biostar integradap4m900-m7fe, d.d. wd 80gb, ddr2 512mb 667mhz, dvdrw lg, cpu intel.;Se formateo e instalo s.o. wxpsp3 y drivers. Se respaldo 1gb en datos;;0
2768;10050;No inicia Windows, revision general. Pc con: d.d. 40 gb, 256 ram pc-133, Intel Celeron 1100 en case compaq, dvdrw, cd-rom;Se formateo e instalo s.o. wxpc y drivers;;0
2769;10050;Se cuelga - revision general. pc con: cdrw lg, floppy, mb integrada fox conn, cpu intel, d.d. hitachi 82gb.;Se formateo e instalo s.o. wxpsp3 y drivers. Se respaldo 4gb en datos;;0
2770;10050;Pc con: Floppy,DvDRW LG, tarjeta madre integrada pc chip P23G, tarjeta de video Ati radeon X1650pro 512 MB. disco duro WD 80GB, 2 DDR 512/ 1GB Cuando se ponen juegos se apaga la pc.;El procesador no tenia pasta disipadora de calor y la temperatura inicial oscilaba entre 60Âº a 85Âº. Se le hizo mantenimiento fisico.;;0
2771;10050;Formatear;Se formateo e instalo s.o. wxpsp3 y drivers;;0
2772;10050;Instalar dvdrw - Pc con: mb integrado, dvd-rom 16x, floppy, d.d. 40gb hitachi, tarjeta de video agp ati radeon 128mb, ddr 512mb pc-3200.;Reparacion de tarjeta madre etapa de regulacion de voltaje (condensadores azules) y reemplazo de fuente.;;0
2773;10050;Instalar antivirus, hacer mantenimiento de software y revision general;Se instalo antivirus y se le hizo mantenimiento de software;;0
2774;10050;Esta lenta revision general. Pc con:Mb integrada Biostar p4m800-m7 a, ddr400 mhz 2x512mb, d.d.80, floppy, dvdrw, cpu intel.;Se formateo e instalo s.o. wxpsp3 y drivers.;;0
2775;10050;Revisison General - Revisar antivirus;Se instalo y actualizo antivirus.;;0
2776;10050;No prende - Fuente daÃ±ada. Pc con : Mb asrock p4i45gv, d.d. maxtor 40gb, floppy, dvdrw, cd-rom, ddr 256mb, ddr 1gb.;Se reemplazo la fuente;;0
2777;11229;Formatear e instalar S.O. wxpsp3 y drivers. Pc viene con: adaptador de voltaje toshiba sn:04242796;Se formateo e instalo s.o. wxpsp3 y drivers.;;0
2778;10050;No da video;Se cambio tarjeta madre y procesador, s ele coloco amd2 y mb biostar;;0
2779;10050;No da video - revision general.;Se reemplazo d.d. Se coloco D.D. Samsung modelo:HD161HJ S/N:SOV3J9DQ524116. Se instalo s.o. W-7 y drivers.;;0
2780;10050;No inicia Windows, solo pone numeros en la pantalla al encenderla. Revision general.;Ddr daÃ±ado, se reemplazÃ³ por 512mb ddr1;;0
2781;10050;Formatear e instalar s.o. wxpsp3 y drivers. No respaldar.;Se formateo e instalo s.o. wxpsp3 y drivers.;;0
2782;11230;Imagen opaca sin contraste;se cambio r de 100 kilos del abl;;0
2783;11231;Fondo Gris;Cambia el revelador es muy común cuando ya ha sobrepasado la 80,000 copias;Fondo gris en toda la pagina.;0
